Gene,Non-unique Gene name,Annotation,GCA_053309155.1,GCA_053309175.1,GCA_053309195.1,GCA_053309215.1,GCA_054952405.1,GCA_054952445.1,GCA_054952645.1,GCA_055485485.1,GCA_055485515.1,GCA_055721525.1,GCA_055721545.1,GCA_055721565.1,GCA_055721585.1,GCA_055721605.1,GCA_055721625.1,GCA_055721645.1,GCA_055721665.1,GCA_055721685.1,GCA_055721705.1,GCA_060056565.1,GCA_060056645.1
ftsB,ftsB,Cell division protein FtsB,PGEOLOLO_03860,MKEIHBDH_04348,AEDCGGIJ_04150,FPEEIIMM_03960,DEGACDFD_03941,MHALECEH_00761,OGHMHICF_00191,JLBILKMH_01075,MCHNEBJF_01075,HOLFJHIJ_00965,ALMEEEHM_00745,BFKKNDMN_01625,BOEGCKIF_00917,AONLONOO_04828,KAONMONA_00381,JBBCKIFO_04144,PCAPKKMB_04026,PJHHOHPP_00925,EGDJDACD_02018,DOCONFGL_02344,PNJFOIHC_04145
rcnB,rcnB,Nickel/cobalt homeostasis protein RcnB,PGEOLOLO_03240,MKEIHBDH_04976,AEDCGGIJ_03445,FPEEIIMM_03406,DEGACDFD_03384,MHALECEH_00147,OGHMHICF_04654,JLBILKMH_01687,MCHNEBJF_01687,HOLFJHIJ_00371,ALMEEEHM_01358,BFKKNDMN_02248,BOEGCKIF_00288,AONLONOO_00446,KAONMONA_04867,JBBCKIFO_04700,PCAPKKMB_03446,PJHHOHPP_00219,EGDJDACD_02559,DOCONFGL_03014,PNJFOIHC_03509
hspQ,hspQ,Heat shock protein HspQ,PGEOLOLO_01580,MKEIHBDH_01404,AEDCGGIJ_01783,FPEEIIMM_01812,DEGACDFD_01663,MHALECEH_03629,OGHMHICF_03013,JLBILKMH_03478,MCHNEBJF_03481,HOLFJHIJ_03781,ALMEEEHM_03120,BFKKNDMN_03911,BOEGCKIF_03665,AONLONOO_02091,KAONMONA_03345,JBBCKIFO_01335,PCAPKKMB_01772,PJHHOHPP_03813,EGDJDACD_04214,DOCONFGL_04669,PNJFOIHC_01796
clpS,clpS,ATP-dependent Clp protease adapter protein ClpS,PGEOLOLO_01497,MKEIHBDH_01489,AEDCGGIJ_01706,FPEEIIMM_01729,DEGACDFD_01587,MHALECEH_03553,OGHMHICF_02929,JLBILKMH_03554,MCHNEBJF_03557,HOLFJHIJ_03704,ALMEEEHM_03202,BFKKNDMN_03993,BOEGCKIF_03583,AONLONOO_02173,KAONMONA_03259,JBBCKIFO_01412,PCAPKKMB_01696,PJHHOHPP_03736,EGDJDACD_04290,DOCONFGL_04745,PNJFOIHC_01720
rsfS,rsfS,Ribosomal silencing factor RsfS,PGEOLOLO_01248,MKEIHBDH_01791,AEDCGGIJ_01422,FPEEIIMM_01481,DEGACDFD_01340,MHALECEH_03301,OGHMHICF_02665,JLBILKMH_03845,MCHNEBJF_03848,HOLFJHIJ_03456,ALMEEEHM_03451,BFKKNDMN_04240,BOEGCKIF_03331,AONLONOO_02420,KAONMONA_02956,JBBCKIFO_01664,PCAPKKMB_01449,PJHHOHPP_03455,EGDJDACD_04554,DOCONFGL_05032,PNJFOIHC_01446
gdx,gdx,Guanidinium exporter,PGEOLOLO_00281,MKEIHBDH_02899,AEDCGGIJ_00343,FPEEIIMM_00379,DEGACDFD_00280,MHALECEH_02219,OGHMHICF_01634,JLBILKMH_04855,MCHNEBJF_04860,HOLFJHIJ_02383,ALMEEEHM_04432,BFKKNDMN_00190,BOEGCKIF_02360,AONLONOO_03396,KAONMONA_01848,JBBCKIFO_02672,PCAPKKMB_00392,PJHHOHPP_02372,EGDJDACD_00549,DOCONFGL_00839,PNJFOIHC_00436
chbA_1,chbA_1,PTS system NN'-diacetylchitobiose-specific EIIA component,PGEOLOLO_00111,MKEIHBDH_03075,AEDCGGIJ_00111,FPEEIIMM_00201,DEGACDFD_00111,MHALECEH_02048,OGHMHICF_01462,JLBILKMH_05036,MCHNEBJF_05041,HOLFJHIJ_02211,ALMEEEHM_04604,BFKKNDMN_00361,BOEGCKIF_02189,AONLONOO_03569,KAONMONA_01666,JBBCKIFO_02848,PCAPKKMB_00210,PJHHOHPP_02140,EGDJDACD_00726,DOCONFGL_01020,PNJFOIHC_00255
yhhA,yhhA,putative protein YhhA,PGEOLOLO_04543,MKEIHBDH_03630,AEDCGGIJ_04812,FPEEIIMM_04632,DEGACDFD_04619,MHALECEH_01495,OGHMHICF_00906,JLBILKMH_00309,MCHNEBJF_00309,HOLFJHIJ_01655,ALMEEEHM_00057,BFKKNDMN_00939,BOEGCKIF_01610,AONLONOO_04152,KAONMONA_01106,JBBCKIFO_03409,PCAPKKMB_04751,PJHHOHPP_01585,EGDJDACD_01295,DOCONFGL_01581,PNJFOIHC_04909
group_2581,,hypothetical protein,PGEOLOLO_04299,MKEIHBDH_03892,AEDCGGIJ_04575,FPEEIIMM_04394,DEGACDFD_04372,MHALECEH_01245,OGHMHICF_00666,JLBILKMH_00569,MCHNEBJF_00569,HOLFJHIJ_01380,ALMEEEHM_00303,BFKKNDMN_01184,BOEGCKIF_01361,AONLONOO_04399,KAONMONA_00837,JBBCKIFO_03658,PCAPKKMB_04505,PJHHOHPP_01351,EGDJDACD_01532,DOCONFGL_01841,PNJFOIHC_04649
ureB,ureB,Urease subunit beta,PGEOLOLO_04209,MKEIHBDH_03993,AEDCGGIJ_04474,FPEEIIMM_04307,DEGACDFD_04272,MHALECEH_01115,OGHMHICF_00576,JLBILKMH_00673,MCHNEBJF_00673,HOLFJHIJ_01290,ALMEEEHM_00393,BFKKNDMN_01274,BOEGCKIF_01270,AONLONOO_04489,KAONMONA_00736,JBBCKIFO_03790,PCAPKKMB_04373,PJHHOHPP_01251,EGDJDACD_01646,DOCONFGL_01942,PNJFOIHC_04545
group_2579,,hypothetical protein,PGEOLOLO_00961,MKEIHBDH_02153,AEDCGGIJ_01049,FPEEIIMM_01114,DEGACDFD_01016,MHALECEH_02934,OGHMHICF_02367,JLBILKMH_04146,MCHNEBJF_04149,HOLFJHIJ_03081,ALMEEEHM_03739,BFKKNDMN_04526,BOEGCKIF_03042,AONLONOO_02709,KAONMONA_02590,JBBCKIFO_01958,PCAPKKMB_01150,PJHHOHPP_03081,EGDJDACD_04856,DOCONFGL_00136,PNJFOIHC_01144
cyaY,cyaY,Iron-sulfur cluster assembly protein CyaY,PGEOLOLO_00050,MKEIHBDH_03136,AEDCGGIJ_00050,FPEEIIMM_00140,DEGACDFD_00050,MHALECEH_01987,OGHMHICF_01400,JLBILKMH_05098,MCHNEBJF_05103,HOLFJHIJ_02143,ALMEEEHM_04666,BFKKNDMN_00422,BOEGCKIF_02127,AONLONOO_03630,KAONMONA_01605,JBBCKIFO_02911,PCAPKKMB_00149,PJHHOHPP_02079,EGDJDACD_00787,DOCONFGL_01082,PNJFOIHC_00194
group_2568,,hypothetical protein,PGEOLOLO_04821,MKEIHBDH_03368,AEDCGGIJ_05071,FPEEIIMM_04912,DEGACDFD_04884,MHALECEH_01760,OGHMHICF_01162,JLBILKMH_00042,MCHNEBJF_00042,HOLFJHIJ_01920,ALMEEEHM_04910,BFKKNDMN_00661,BOEGCKIF_01890,AONLONOO_03871,KAONMONA_01371,JBBCKIFO_03140,PCAPKKMB_05020,PJHHOHPP_01844,EGDJDACD_01023,DOCONFGL_01315,PNJFOIHC_05218
group_2567,,hypothetical protein,PGEOLOLO_03983,MKEIHBDH_04221,AEDCGGIJ_04260,FPEEIIMM_04070,DEGACDFD_04052,MHALECEH_00884,OGHMHICF_00317,JLBILKMH_00965,MCHNEBJF_00965,HOLFJHIJ_01075,ALMEEEHM_00620,BFKKNDMN_01502,BOEGCKIF_01041,AONLONOO_04704,KAONMONA_00509,JBBCKIFO_04020,PCAPKKMB_04147,PJHHOHPP_01037,EGDJDACD_01877,DOCONFGL_02232,PNJFOIHC_04255
group_2566,,hypothetical protein,PGEOLOLO_03677,MKEIHBDH_04540,AEDCGGIJ_03902,FPEEIIMM_03761,DEGACDFD_03737,MHALECEH_00513,OGHMHICF_05013,JLBILKMH_01276,MCHNEBJF_01276,HOLFJHIJ_00773,ALMEEEHM_00929,BFKKNDMN_01808,BOEGCKIF_00734,AONLONOO_00006,KAONMONA_00184,JBBCKIFO_04333,PCAPKKMB_03846,PJHHOHPP_00677,EGDJDACD_02204,DOCONFGL_02603,PNJFOIHC_03917
iscA,iscA,Iron-binding protein IscA,PGEOLOLO_03563,MKEIHBDH_04589,AEDCGGIJ_03852,FPEEIIMM_03712,DEGACDFD_03686,MHALECEH_00464,OGHMHICF_04964,JLBILKMH_01327,MCHNEBJF_01327,HOLFJHIJ_00724,ALMEEEHM_00979,BFKKNDMN_01923,BOEGCKIF_00617,AONLONOO_00120,KAONMONA_00135,JBBCKIFO_04382,PCAPKKMB_03797,PJHHOHPP_00627,EGDJDACD_02256,DOCONFGL_02654,PNJFOIHC_03868
tmaR,tmaR,Pole-localizer protein TmaR,PGEOLOLO_03148,MKEIHBDH_05066,AEDCGGIJ_03356,FPEEIIMM_03315,DEGACDFD_03291,MHALECEH_00068,OGHMHICF_04575,JLBILKMH_01772,MCHNEBJF_01771,HOLFJHIJ_00281,ALMEEEHM_01445,BFKKNDMN_02341,BOEGCKIF_00195,AONLONOO_00538,KAONMONA_04775,JBBCKIFO_04783,PCAPKKMB_03352,PJHHOHPP_00130,EGDJDACD_02649,DOCONFGL_03110,PNJFOIHC_03415
group_2565,,hypothetical protein,PGEOLOLO_02030,MKEIHBDH_00997,AEDCGGIJ_02213,FPEEIIMM_02249,DEGACDFD_02141,MHALECEH_04088,OGHMHICF_03492,JLBILKMH_02840,MCHNEBJF_02842,HOLFJHIJ_04317,ALMEEEHM_02052,BFKKNDMN_03462,BOEGCKIF_04115,AONLONOO_01643,KAONMONA_03751,JBBCKIFO_00876,PCAPKKMB_02276,PJHHOHPP_04247,EGDJDACD_03766,DOCONFGL_04157,PNJFOIHC_02335
cutA,cutA,Divalent-cation tolerance protein CutA,PGEOLOLO_00260,MKEIHBDH_02921,AEDCGGIJ_00323,FPEEIIMM_00360,DEGACDFD_00260,MHALECEH_02198,OGHMHICF_01613,JLBILKMH_04877,MCHNEBJF_04882,HOLFJHIJ_02362,ALMEEEHM_04454,BFKKNDMN_00211,BOEGCKIF_02339,AONLONOO_03417,KAONMONA_01825,JBBCKIFO_02693,PCAPKKMB_00372,PJHHOHPP_02352,EGDJDACD_00570,DOCONFGL_00861,PNJFOIHC_00414
nirD,nirD,Nitrite reductase (NADH) small subunit,PGEOLOLO_04490,MKEIHBDH_03686,AEDCGGIJ_04758,FPEEIIMM_04577,DEGACDFD_04565,MHALECEH_01442,OGHMHICF_00851,JLBILKMH_00364,MCHNEBJF_00364,HOLFJHIJ_01599,ALMEEEHM_00111,BFKKNDMN_00993,BOEGCKIF_01556,AONLONOO_04206,KAONMONA_01050,JBBCKIFO_03463,PCAPKKMB_04696,PJHHOHPP_01531,EGDJDACD_01348,DOCONFGL_01636,PNJFOIHC_04854
group_2550,,putative protein,PGEOLOLO_04133,MKEIHBDH_04059,AEDCGGIJ_04408,FPEEIIMM_04237,DEGACDFD_04200,MHALECEH_01038,OGHMHICF_00504,JLBILKMH_00806,MCHNEBJF_00806,HOLFJHIJ_01223,ALMEEEHM_00469,BFKKNDMN_01351,BOEGCKIF_01193,AONLONOO_04565,KAONMONA_00670,JBBCKIFO_03866,PCAPKKMB_04307,PJHHOHPP_01185,EGDJDACD_01713,DOCONFGL_02072,PNJFOIHC_04415
group_2549,,hypothetical protein,PGEOLOLO_04006,MKEIHBDH_04198,AEDCGGIJ_04283,FPEEIIMM_04093,DEGACDFD_04075,MHALECEH_00907,OGHMHICF_00340,JLBILKMH_00942,MCHNEBJF_00942,HOLFJHIJ_01098,ALMEEEHM_00597,BFKKNDMN_01479,BOEGCKIF_01064,AONLONOO_04681,KAONMONA_00532,JBBCKIFO_03997,PCAPKKMB_04170,PJHHOHPP_01060,EGDJDACD_01854,DOCONFGL_02209,PNJFOIHC_04278
ygbE,ygbE,Inner membrane protein YgbE,PGEOLOLO_03861,MKEIHBDH_04347,AEDCGGIJ_04151,FPEEIIMM_03961,DEGACDFD_03942,MHALECEH_00762,OGHMHICF_00192,JLBILKMH_01074,MCHNEBJF_01074,HOLFJHIJ_00966,ALMEEEHM_00744,BFKKNDMN_01624,BOEGCKIF_00918,AONLONOO_04827,KAONMONA_00382,JBBCKIFO_04143,PCAPKKMB_04027,PJHHOHPP_00926,EGDJDACD_02017,DOCONFGL_02343,PNJFOIHC_04146
yciH,yciH,putative protein YciH,PGEOLOLO_01916,MKEIHBDH_01107,AEDCGGIJ_02095,FPEEIIMM_02147,DEGACDFD_02012,MHALECEH_03970,OGHMHICF_03303,JLBILKMH_03042,MCHNEBJF_03045,HOLFJHIJ_04108,ALMEEEHM_02778,BFKKNDMN_03576,BOEGCKIF_04001,AONLONOO_01757,KAONMONA_03643,JBBCKIFO_00993,PCAPKKMB_02109,PJHHOHPP_04127,EGDJDACD_03877,DOCONFGL_04356,PNJFOIHC_02129
glpE_2,glpE_2,Thiosulfate sulfurtransferase GlpE,PGEOLOLO_04527,MKEIHBDH_03648,AEDCGGIJ_04796,FPEEIIMM_04614,DEGACDFD_04603,MHALECEH_01479,OGHMHICF_00890,JLBILKMH_00327,MCHNEBJF_00327,HOLFJHIJ_01636,ALMEEEHM_00074,BFKKNDMN_00956,BOEGCKIF_01594,AONLONOO_04168,KAONMONA_01088,JBBCKIFO_03425,PCAPKKMB_04733,PJHHOHPP_01569,EGDJDACD_01311,DOCONFGL_01599,PNJFOIHC_04891
secG,secG,Protein-export membrane protein SecG,PGEOLOLO_04321,MKEIHBDH_03870,AEDCGGIJ_04597,FPEEIIMM_04416,DEGACDFD_04394,MHALECEH_01267,OGHMHICF_00688,JLBILKMH_00547,MCHNEBJF_00547,HOLFJHIJ_01416,ALMEEEHM_00281,BFKKNDMN_01162,BOEGCKIF_01383,AONLONOO_04377,KAONMONA_00865,JBBCKIFO_03635,PCAPKKMB_04527,PJHHOHPP_01373,EGDJDACD_01510,DOCONFGL_01819,PNJFOIHC_04671
zapA,zapA,Cell division protein ZapA,PGEOLOLO_04099,MKEIHBDH_04107,AEDCGGIJ_04377,FPEEIIMM_04186,DEGACDFD_04166,MHALECEH_01004,OGHMHICF_00473,JLBILKMH_00854,MCHNEBJF_00854,HOLFJHIJ_01189,ALMEEEHM_00503,BFKKNDMN_01385,BOEGCKIF_01159,AONLONOO_04599,KAONMONA_00623,JBBCKIFO_03900,PCAPKKMB_04260,PJHHOHPP_01154,EGDJDACD_01761,DOCONFGL_02120,PNJFOIHC_04367
group_2538,,hypothetical protein,PGEOLOLO_04056,MKEIHBDH_04146,AEDCGGIJ_04334,FPEEIIMM_04147,DEGACDFD_04127,MHALECEH_00961,OGHMHICF_00393,JLBILKMH_00892,MCHNEBJF_00892,HOLFJHIJ_01149,ALMEEEHM_00546,BFKKNDMN_01428,BOEGCKIF_01116,AONLONOO_04643,KAONMONA_00583,JBBCKIFO_03944,PCAPKKMB_04221,PJHHOHPP_01111,EGDJDACD_01802,DOCONFGL_02158,PNJFOIHC_04329
yqcC,yqcC,putative protein YqcC,PGEOLOLO_03885,MKEIHBDH_04323,AEDCGGIJ_04175,FPEEIIMM_03985,DEGACDFD_03966,MHALECEH_00786,OGHMHICF_00217,JLBILKMH_01050,MCHNEBJF_01050,HOLFJHIJ_00990,ALMEEEHM_00719,BFKKNDMN_01600,BOEGCKIF_00942,AONLONOO_04803,KAONMONA_00406,JBBCKIFO_04119,PCAPKKMB_04062,PJHHOHPP_00950,EGDJDACD_01982,DOCONFGL_02319,PNJFOIHC_04170
yciU,yciU,Putative double-stranded DNA mimic protein YciU,PGEOLOLO_02807,MKEIHBDH_00249,AEDCGGIJ_02967,FPEEIIMM_02980,DEGACDFD_02890,MHALECEH_04934,OGHMHICF_04279,JLBILKMH_02079,MCHNEBJF_02079,HOLFJHIJ_05076,ALMEEEHM_01887,BFKKNDMN_02683,BOEGCKIF_04896,AONLONOO_00923,KAONMONA_04503,JBBCKIFO_00082,PCAPKKMB_03029,PJHHOHPP_05003,EGDJDACD_02980,DOCONFGL_03394,PNJFOIHC_03103
mdtI,mdtI,Spermidine export protein MdtI,PGEOLOLO_02135,MKEIHBDH_00891,AEDCGGIJ_02319,FPEEIIMM_02353,DEGACDFD_02245,MHALECEH_04247,OGHMHICF_03602,JLBILKMH_02736,MCHNEBJF_02738,HOLFJHIJ_04433,ALMEEEHM_02157,BFKKNDMN_03357,BOEGCKIF_04222,AONLONOO_01538,KAONMONA_03858,JBBCKIFO_00769,PCAPKKMB_02395,PJHHOHPP_04355,EGDJDACD_03659,DOCONFGL_04053,PNJFOIHC_02439
tusE,tusE,Sulfurtransferase TusE,PGEOLOLO_01585,MKEIHBDH_01399,AEDCGGIJ_01788,FPEEIIMM_01817,DEGACDFD_01668,MHALECEH_03634,OGHMHICF_03018,JLBILKMH_03473,MCHNEBJF_03476,HOLFJHIJ_03786,ALMEEEHM_03115,BFKKNDMN_03906,BOEGCKIF_03670,AONLONOO_02086,KAONMONA_03350,JBBCKIFO_01329,PCAPKKMB_01777,PJHHOHPP_03818,EGDJDACD_04209,DOCONFGL_04664,PNJFOIHC_01801
cyoD,cyoD,Cytochrome bo(3) ubiquinol oxidase subunit 4,PGEOLOLO_00967,MKEIHBDH_02147,AEDCGGIJ_01055,FPEEIIMM_01120,DEGACDFD_01022,MHALECEH_02940,OGHMHICF_02373,JLBILKMH_04140,MCHNEBJF_04143,HOLFJHIJ_03087,ALMEEEHM_03733,BFKKNDMN_04520,BOEGCKIF_03048,AONLONOO_02703,KAONMONA_02596,JBBCKIFO_01952,PCAPKKMB_01156,PJHHOHPP_03087,EGDJDACD_04850,DOCONFGL_00130,PNJFOIHC_01150
trpR,trpR,Trp operon repressor,PGEOLOLO_00575,MKEIHBDH_02573,AEDCGGIJ_00657,FPEEIIMM_00714,DEGACDFD_00623,MHALECEH_02522,OGHMHICF_01963,JLBILKMH_04555,MCHNEBJF_04560,HOLFJHIJ_02671,ALMEEEHM_04129,BFKKNDMN_04912,BOEGCKIF_02654,AONLONOO_03097,KAONMONA_02173,JBBCKIFO_02370,PCAPKKMB_00738,PJHHOHPP_02688,EGDJDACD_00219,DOCONFGL_00542,PNJFOIHC_00736
soxS,soxS,Regulatory protein SoxS,PGEOLOLO_00199,MKEIHBDH_02984,AEDCGGIJ_00257,FPEEIIMM_00298,DEGACDFD_00199,MHALECEH_02137,OGHMHICF_01551,JLBILKMH_04940,MCHNEBJF_04945,HOLFJHIJ_02301,ALMEEEHM_04515,BFKKNDMN_00272,BOEGCKIF_02278,AONLONOO_03478,KAONMONA_01761,JBBCKIFO_02755,PCAPKKMB_00305,PJHHOHPP_02286,EGDJDACD_00634,DOCONFGL_00924,PNJFOIHC_00351
trxA_1,trxA_1,Thioredoxin 1,PGEOLOLO_00026,MKEIHBDH_03160,AEDCGGIJ_00026,FPEEIIMM_00115,DEGACDFD_00026,MHALECEH_01963,OGHMHICF_01376,JLBILKMH_05122,MCHNEBJF_05127,HOLFJHIJ_02119,ALMEEEHM_04690,BFKKNDMN_00446,BOEGCKIF_02103,AONLONOO_03654,KAONMONA_01581,JBBCKIFO_02936,PCAPKKMB_00124,PJHHOHPP_02055,EGDJDACD_00811,DOCONFGL_01106,PNJFOIHC_00170
group_2528,,hypothetical protein,PGEOLOLO_04847,MKEIHBDH_03342,AEDCGGIJ_05100,FPEEIIMM_04938,DEGACDFD_04910,MHALECEH_01786,OGHMHICF_01189,JLBILKMH_00016,MCHNEBJF_00016,HOLFJHIJ_01946,ALMEEEHM_04883,BFKKNDMN_00635,BOEGCKIF_01916,AONLONOO_03845,KAONMONA_01398,JBBCKIFO_03113,PCAPKKMB_05046,PJHHOHPP_01873,EGDJDACD_00995,DOCONFGL_01289,PNJFOIHC_05244
rplV,rplV,Large ribosomal subunit protein uL22,PGEOLOLO_04450,MKEIHBDH_03726,AEDCGGIJ_04718,FPEEIIMM_04537,DEGACDFD_04525,MHALECEH_01402,OGHMHICF_00811,JLBILKMH_00404,MCHNEBJF_00404,HOLFJHIJ_01558,ALMEEEHM_00151,BFKKNDMN_01033,BOEGCKIF_01516,AONLONOO_04246,KAONMONA_01010,JBBCKIFO_03504,PCAPKKMB_04656,PJHHOHPP_01491,EGDJDACD_01388,DOCONFGL_01676,PNJFOIHC_04814
yeaR_2,yeaR_2,putative protein YeaR,PGEOLOLO_03137,MKEIHBDH_05077,AEDCGGIJ_03345,FPEEIIMM_03304,DEGACDFD_03280,MHALECEH_00057,OGHMHICF_04564,JLBILKMH_01783,MCHNEBJF_01782,HOLFJHIJ_00270,ALMEEEHM_01456,BFKKNDMN_02352,BOEGCKIF_00184,AONLONOO_00549,KAONMONA_04764,JBBCKIFO_04794,PCAPKKMB_03341,PJHHOHPP_00119,EGDJDACD_02660,DOCONFGL_03121,PNJFOIHC_03404
chiQ,chiQ,putative lipoprotein ChiQ,PGEOLOLO_01283,MKEIHBDH_01756,AEDCGGIJ_01457,FPEEIIMM_01516,DEGACDFD_01375,MHALECEH_03336,OGHMHICF_02700,JLBILKMH_03810,MCHNEBJF_03813,HOLFJHIJ_03491,ALMEEEHM_03416,BFKKNDMN_04205,BOEGCKIF_03367,AONLONOO_02385,KAONMONA_02991,JBBCKIFO_01629,PCAPKKMB_01484,PJHHOHPP_03490,EGDJDACD_04518,DOCONFGL_04997,PNJFOIHC_01481
ybaB,ybaB,Nucleoid-associated protein YbaB,PGEOLOLO_01029,MKEIHBDH_02084,AEDCGGIJ_01119,FPEEIIMM_01183,DEGACDFD_01085,MHALECEH_03004,OGHMHICF_02437,JLBILKMH_04077,MCHNEBJF_04080,HOLFJHIJ_03149,ALMEEEHM_03669,BFKKNDMN_04458,BOEGCKIF_03110,AONLONOO_02640,KAONMONA_02659,JBBCKIFO_01888,PCAPKKMB_01218,PJHHOHPP_03150,EGDJDACD_04787,DOCONFGL_00067,PNJFOIHC_01213
group_2526,,hypothetical protein,PGEOLOLO_00965,MKEIHBDH_02149,AEDCGGIJ_01053,FPEEIIMM_01118,DEGACDFD_01020,MHALECEH_02938,OGHMHICF_02371,JLBILKMH_04142,MCHNEBJF_04145,HOLFJHIJ_03085,ALMEEEHM_03735,BFKKNDMN_04522,BOEGCKIF_03046,AONLONOO_02705,KAONMONA_02594,JBBCKIFO_01954,PCAPKKMB_01154,PJHHOHPP_03085,EGDJDACD_04852,DOCONFGL_00132,PNJFOIHC_01148
yajC,yajC,Sec translocon accessory complex subunit YajC,PGEOLOLO_00934,MKEIHBDH_02180,AEDCGGIJ_01022,FPEEIIMM_01087,DEGACDFD_00987,MHALECEH_02907,OGHMHICF_02339,JLBILKMH_04173,MCHNEBJF_04176,HOLFJHIJ_03054,ALMEEEHM_03766,BFKKNDMN_04553,BOEGCKIF_03014,AONLONOO_02737,KAONMONA_02563,JBBCKIFO_01985,PCAPKKMB_01122,PJHHOHPP_03054,EGDJDACD_04883,DOCONFGL_00163,PNJFOIHC_01117
uspB,uspB,Universal stress protein B,PGEOLOLO_04609,MKEIHBDH_03580,AEDCGGIJ_04862,FPEEIIMM_04681,DEGACDFD_04670,MHALECEH_01546,OGHMHICF_00960,JLBILKMH_00259,MCHNEBJF_00259,HOLFJHIJ_01705,ALMEEEHM_05127,BFKKNDMN_00872,BOEGCKIF_01676,AONLONOO_04085,KAONMONA_01157,JBBCKIFO_03358,PCAPKKMB_04801,PJHHOHPP_01636,EGDJDACD_01242,DOCONFGL_01531,PNJFOIHC_04959
group_2517,,hypothetical protein,PGEOLOLO_03761,MKEIHBDH_04461,AEDCGGIJ_04051,FPEEIIMM_03845,DEGACDFD_03842,MHALECEH_00656,OGHMHICF_00092,JLBILKMH_01174,MCHNEBJF_01174,HOLFJHIJ_00864,ALMEEEHM_00845,BFKKNDMN_01724,BOEGCKIF_00818,AONLONOO_04927,KAONMONA_00269,JBBCKIFO_04249,PCAPKKMB_03926,PJHHOHPP_00826,EGDJDACD_02118,DOCONFGL_02443,PNJFOIHC_04046
raiA,raiA,Ribosome-associated inhibitor A,PGEOLOLO_03687,MKEIHBDH_04530,AEDCGGIJ_03912,FPEEIIMM_03771,DEGACDFD_03747,MHALECEH_00523,OGHMHICF_00009,JLBILKMH_01266,MCHNEBJF_01266,HOLFJHIJ_00783,ALMEEEHM_00919,BFKKNDMN_01798,BOEGCKIF_00744,AONLONOO_05002,KAONMONA_00195,JBBCKIFO_04323,PCAPKKMB_03856,PJHHOHPP_00687,EGDJDACD_02193,DOCONFGL_02593,PNJFOIHC_03927
fdx,fdx,2Fe-2S ferredoxin,PGEOLOLO_03560,MKEIHBDH_04592,AEDCGGIJ_03849,FPEEIIMM_03709,DEGACDFD_03683,MHALECEH_00461,OGHMHICF_04961,JLBILKMH_01330,MCHNEBJF_01330,HOLFJHIJ_00721,ALMEEEHM_00982,BFKKNDMN_01926,BOEGCKIF_00614,AONLONOO_00123,KAONMONA_00132,JBBCKIFO_04385,PCAPKKMB_03794,PJHHOHPP_00624,EGDJDACD_02259,DOCONFGL_02657,PNJFOIHC_03865
eutS,eutS,Bacterial microcompartment shell protein EutS,PGEOLOLO_03478,MKEIHBDH_04656,AEDCGGIJ_03713,FPEEIIMM_03647,DEGACDFD_03623,MHALECEH_00398,OGHMHICF_04899,JLBILKMH_01445,MCHNEBJF_01445,HOLFJHIJ_00663,ALMEEEHM_01067,BFKKNDMN_02008,BOEGCKIF_00532,AONLONOO_00204,KAONMONA_00069,JBBCKIFO_04447,PCAPKKMB_03736,PJHHOHPP_00488,EGDJDACD_02318,DOCONFGL_02773,PNJFOIHC_03748
group_2515,,hypothetical protein,PGEOLOLO_03136,MKEIHBDH_05078,AEDCGGIJ_03344,FPEEIIMM_03303,DEGACDFD_03279,MHALECEH_00056,OGHMHICF_04563,JLBILKMH_01784,MCHNEBJF_01783,HOLFJHIJ_00269,ALMEEEHM_01457,BFKKNDMN_02353,BOEGCKIF_00183,AONLONOO_00550,KAONMONA_04763,JBBCKIFO_04795,PCAPKKMB_03340,PJHHOHPP_00118,EGDJDACD_02661,DOCONFGL_03122,PNJFOIHC_03403
ydgC,ydgC,Inner membrane protein YdgC,PGEOLOLO_02090,MKEIHBDH_00936,AEDCGGIJ_02273,FPEEIIMM_02309,DEGACDFD_02201,MHALECEH_04148,OGHMHICF_03552,JLBILKMH_02780,MCHNEBJF_02782,HOLFJHIJ_04389,ALMEEEHM_02112,BFKKNDMN_03402,BOEGCKIF_04176,AONLONOO_01583,KAONMONA_03812,JBBCKIFO_00814,PCAPKKMB_02348,PJHHOHPP_04309,EGDJDACD_03705,DOCONFGL_04097,PNJFOIHC_02395
group_2514,,hypothetical protein,PGEOLOLO_00239,MKEIHBDH_02944,AEDCGGIJ_00297,FPEEIIMM_00338,DEGACDFD_00237,MHALECEH_02177,OGHMHICF_01591,JLBILKMH_04900,MCHNEBJF_04905,HOLFJHIJ_02341,ALMEEEHM_04475,BFKKNDMN_00232,BOEGCKIF_02318,AONLONOO_03438,KAONMONA_01802,JBBCKIFO_02715,PCAPKKMB_00346,PJHHOHPP_02326,EGDJDACD_00594,DOCONFGL_00884,PNJFOIHC_00391
arnE,arnE,putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE,PGEOLOLO_04576,MKEIHBDH_03597,AEDCGGIJ_04845,FPEEIIMM_04664,DEGACDFD_04652,MHALECEH_01529,OGHMHICF_00943,JLBILKMH_00276,MCHNEBJF_00276,HOLFJHIJ_01688,ALMEEEHM_00023,BFKKNDMN_00905,BOEGCKIF_01643,AONLONOO_04118,KAONMONA_01140,JBBCKIFO_03375,PCAPKKMB_04784,PJHHOHPP_01619,EGDJDACD_01260,DOCONFGL_01548,PNJFOIHC_04942
